doc,model,time_s,n_elements,Image,Title,NarrativeText,UncategorizedText,ListItem,Footer,Header,Table,FigureCaption,n_visible,title_pct
easy,detectron2_mask_rcnn,40.8,60,13,10,18,8,5,0,0,0,0,54,18.5
easy,detectron2_onnx,32.1,62,13,13,19,7,4,0,0,0,0,56,23.2
easy,detectron2_quantized,32.6,70,13,8,27,9,7,0,0,0,0,64,12.5
easy,yolox,74.9,66,13,6,20,6,15,0,0,0,0,60,10.0
easy,yolox_quantized,31.4,76,13,6,18,16,15,2,0,0,0,70,8.6
easy,yolox_tiny,28.6,218,17,7,0,188,0,0,0,0,0,212,3.3
easy,no_model,2.0,58,0,8,28,3,7,6,0,0,0,52,15.4
medium,detectron2_mask_rcnn,136.9,215,51,54,34,21,33,0,0,0,0,193,28.0
medium,detectron2_onnx,84.8,203,50,60,29,14,28,0,0,0,0,181,33.1
medium,detectron2_quantized,88.7,203,50,53,30,13,35,0,0,0,0,181,29.3
medium,yolox,223.2,290,51,32,26,49,103,5,1,1,0,268,11.9
medium,yolox_quantized,180.8,310,51,37,25,65,104,5,0,1,0,288,12.8
medium,yolox_tiny,167.7,340,57,39,3,219,0,0,0,0,0,318,12.3
medium,no_model,1.0,148,0,39,37,9,35,6,0,0,0,126,31.0
hard,detectron2_mask_rcnn,101.5,686,37,442,75,114,3,0,0,0,0,671,65.9
hard,detectron2_onnx,89.5,667,37,428,74,109,3,0,0,1,0,652,65.6
hard,detectron2_quantized,91.4,684,37,443,73,113,3,0,0,0,0,669,66.2
hard,yolox,153.8,245,58,39,61,58,0,8,3,2,1,230,17.0
hard,yolox_quantized,154.8,492,60,41,67,296,1,7,2,2,1,477,8.6
hard,yolox_tiny,145.4,505,62,73,57,296,0,0,0,2,0,490,14.9
hard,no_model,2.7,330,0,157,60,47,2,36,13,0,0,315,49.8
